Time(s),LINEAR ACCELERATION X (m/s2),LINEAR ACCELERATION Y (m/s2),LINEAR ACCELERATION Z (m/s2)
10,0.0473,-0.0048,0.0072
509,0.0233,0.0098,0.0161
1009,-0.0334,-0.0054,0.1378
1510,-0.3873,-0.1497,-0.8483
2010,0.2025,-0.1669,1.0518
2510,0.1723,-0.2088,-0.0225
3009,0.0302,0.0304,0.3224
3510,0.1072,-0.1219,0.0686
4010,-0.1504,-0.0275,-0.0691
4509,-0.0449,0.0312,0.1642
5010,-0.3415,-0.0879,0.4989
5510,0.1823,0.0659,0.5738
6010,-0.0272,0.0349,0.4734
6509,-0.559,-0.0222,-0.0064
7010,-0.4501,0.0179,-0.0782
7510,-0.1062,-0.0952,-0.1122
8009,0.0129,0.0017,-0.1686
8510,0.0836,0.0757,-0.0456
9010,0.0359,-0.0652,0.0849
9509,0.0237,-0.0297,0.1453
10009,0.0199,-0.0234,-0.015
10510,-0.0181,0.0072,-0.0117
11009,0.0598,-0.0153,0.0552
11510,-0.0187,0.0171,0.0272
12010,0.0343,0.0101,0.0072
12510,-0.0329,0.0023,-0.0385
13009,0.0414,-0.0284,0.0283
13510,0.0055,-3.00E-04,0.0167
14010,0.0531,-0.0133,0.0202
14510,-0.0373,0.003,-0.0578
15011,0.0238,-0.0126,0.0408
15510,0.0234,-0.0157,0.0186
16009,0.0112,0.0072,0.0042
16509,0.0265,-0.0054,0.0262
17009,-0.0362,0.0186,0.0409
17510,-0.0454,0.0099,0.0188
18010,0.038,-0.0101,-0.004
18509,-6.00E-04,0.0175,0.0333
19010,0.001,0.0102,0.0105
19510,-0.0156,-0.0305,-0.0622
20009,-0.0466,-0.0067,0.033
20509,-0.0011,-0.0139,0.001
21010,-0.0036,0.0383,0.0145
21510,0.214,-0.1045,0.1957
22009,-0.2851,0.1089,-0.2358
22510,-0.0075,0.0102,-0.018
23010,-0.0831,0.0051,-0.0686
23510,-0.0556,-0.0049,0.0228
24010,0.0359,0.027,0.0514
24509,0.0679,-0.0509,-0.001
25009,0.0287,0.0316,0.0654
25509,-0.123,-0.0251,-0.0739
26010,0.0199,0.0924,-0.0342
26510,0.1163,-0.1416,-0.0053
27010,0.0262,-0.0725,0.2166
27510,0.0262,-0.0917,-0.0305
28009,0.1635,0.0072,0.1901
28509,0.1035,-0.0047,0.1979
29009,0.1758,-0.0064,0.1613
29510,0.2108,-0.059,0.1721
30010,-0.0834,-0.0325,-0.1025
30510,-0.0654,0.0424,-0.0239
31010,0.0923,-0.0373,0.0538
31510,0.0802,-0.0324,0.0199
32009,-0.0127,0.0127,0.0177
32510,-0.0236,0.0068,-0.014
33009,0.0112,-0.0161,0.0234
33510,0.0056,-0.004,0.0226
34009,0.108,-0.0098,-0.0391
34512,-0.0677,0.0499,0.1068
35009,-0.0033,-0.0225,-0.0655
35511,-0.0181,0.0063,-0.1048
36010,-0.0479,0.0122,0.0449
